,complements,substitutes,frequency_dict,context_dict
1994,"['capitalism', 'security', 'behavior', 'reform', 'doctrine', 'sociology', 'intervention', 'intellectual', 'discourse', 'institution', 'democratic', 'organization', 'symbol', 'spiritual', 'evolution', 'administrative', 'discipline', 'personality', 'psychological', 'constitution', 'integration', 'maintenance', 'transformation', 'traditional', 'integrity', 'liberal', 'collective', 'logic', 'leadership', 'medicine', 'intelligence', 'educational', 'inherent', 'organisation', 'politics', 'stability']","['stability', 'politics', 'organisation', 'inherent', 'educational', 'intelligence', 'medicine', 'logic', 'leadership', 'collective', 'liberal', 'integrity', 'traditional', 'transformation', 'maintenance', 'integration', 'constitution', 'psychological', 'personality', 'discipline', 'administrative', 'evolution', 'spiritual', 'symbol', 'organization', 'democratic', 'institution', 'discourse', 'intellectual', 'sociology', 'intervention', 'doctrine', 'reform', 'behavior', 'security', 'capitalism']","{'democratic': (0.7999036312103271, 107), 'capitalism': (0.7438727617263794, 127), 'personality': (0.7398461699485779, 131), 'stability': (0.7291289567947388, 185), 'intellectual': (0.7176385521888733, 185), 'transformation': (0.7160978317260742, 150), 'medicine': (0.7143106460571289, 119), 'politics': (0.6988620758056641, 435), 'security': (0.6956535577774048, 367), 'organisation': (0.6932957172393799, 155), 'psychological': (0.6910044550895691, 110), 'organization': (0.690546989440918, 489), 'logic': (0.6902469992637634, 170), 'spiritual': (0.6900352835655212, 163), 'intelligence': (0.6896347999572754, 106), 'collective': (0.6888546943664551, 149), 'reform': (0.688454806804657, 158), 'discourse': (0.68408203125, 165), 'constitution': (0.6840431690216064, 188), 'behavior': (0.6825084686279297, 177), 'liberal': (0.6799265146255493, 106), 'integrity': (0.678295373916626, 102), 'inherent': (0.6780731081962585, 102), 'administrative': (0.6779255867004395, 109), 'institution': (0.6771579384803772, 167), 'evolution': (0.6771284341812134, 258), 'integration': (0.6747125387191772, 158), 'sociology': (0.6746350526809692, 105), 'doctrine': (0.6744707822799683, 258), 'leadership': (0.6722840070724487, 157), 'discipline': (0.6716346740722656, 140), 'intervention': (0.6715981364250183, 121), 'traditional': (0.6690093278884888, 313), 'maintenance': (0.6688717603683472, 223), 'symbol': (0.6671008467674255, 138), 'educational': (0.6654680371284485, 153)}","{'democratic': 0.065, 'capitalism': 0.27, 'personality': 0.033, 'stability': -0.422, 'intellectual': 0.138, 'transformation': -0.019, 'medicine': -0.089, 'politics': -0.361, 'security': 0.239, 'organisation': -0.135, 'psychological': 0.031, 'organization': 0.054, 'logic': -0.075, 'spiritual': 0.047, 'intelligence': -0.111, 'collective': -0.068, 'reform': 0.184, 'discourse': 0.11, 'constitution': 0.013, 'behavior': 0.219, 'liberal': -0.056, 'integrity': -0.051, 'inherent': -0.129, 'administrative': 0.037, 'institution': 0.094, 'evolution': 0.045, 'integration': 0.012, 'sociology': 0.144, 'doctrine': 0.156, 'leadership': -0.075, 'discipline': 0.034, 'intervention': 0.144, 'traditional': -0.04, 'maintenance': 0.007, 'symbol': 0.052, 'educational': -0.122}"
1935,"['creation', 'personality', 'institution', 'tragedy', 'essence', 'technical', 'weakness', 'organization', 'intelligence', 'culture', 'definition', 'ideal', 'concept']","['concept', 'ideal', 'definition', 'culture', 'intelligence', 'organization', 'weakness', 'technical', 'essence', 'tragedy', 'institution', 'personality', 'creation']","{'ideal': (0.7943954467773438, 149), 'concept': (0.7704582214355469, 109), 'culture': (0.7678842544555664, 201), 'organization': (0.7488641142845154, 159), 'institution': (0.7447577714920044, 114), 'technical': (0.7397383451461792, 101), 'personality': (0.7387881875038147, 124), 'tragedy': (0.7377628684043884, 106), 'intelligence': (0.7347827553749084, 102), 'essence': (0.7254070043563843, 137), 'weakness': (0.7237006425857544, 125), 'creation': (0.7226028442382812, 266), 'definition': (0.7213830947875977, 139)}","{'ideal': -0.059, 'concept': -0.139, 'culture': -0.001, 'organization': 0.022, 'institution': 0.118, 'technical': 0.053, 'personality': 0.325, 'tragedy': 0.11, 'intelligence': 0.001, 'essence': 0.055, 'weakness': 0.027, 'creation': 0.382, 'definition': -0.018}"
1984,"['consciousness', 'realm', 'capitalism', 'intervention', 'politics', 'discipline', 'logic', 'perception', 'organisation', 'personality', 'organizations', 'democratic', 'organization', 'unity', 'integration', 'reality', 'intellectual']","['intellectual', 'reality', 'integration', 'unity', 'organization', 'democratic', 'organizations', 'personality', 'organisation', 'perception', 'logic', 'discipline', 'politics', 'intervention', 'capitalism', 'realm', 'consciousness']","{'organizations': (0.7596088647842407, 107), 'logic': (0.758782684803009, 117), 'consciousness': (0.7552585601806641, 249), 'perception': (0.7527848482131958, 112), 'organisation': (0.7525067925453186, 185), 'capitalism': (0.7473981380462646, 103), 'discipline': (0.7451332807540894, 127), 'realm': (0.7376520037651062, 124), 'organization': (0.7330181002616882, 387), 'personality': (0.7287237048149109, 141), 'politics': (0.7275741100311279, 275), 'intellectual': (0.7267522811889648, 117), 'integration': (0.7193334102630615, 101), 'reality': (0.7124471664428711, 399), 'unity': (0.7123203873634338, 215), 'intervention': (0.7097735404968262, 127), 'democratic': (0.7092112898826599, 103)}","{'organizations': 0.053, 'logic': 0.158, 'consciousness': 0.72, 'perception': 0.151, 'organisation': 0.126, 'capitalism': 0.41, 'discipline': 0.195, 'realm': 0.475, 'organization': 0.017, 'personality': 0.109, 'politics': 0.203, 'intellectual': -0.121, 'integration': -0.037, 'reality': -0.104, 'unity': -0.021, 'intervention': 0.245, 'democratic': 0.038}"
1952,"['economy', 'commerce', 'institutions', 'prosperity', 'culture', 'unity', 'constitution', 'reform', 'training', 'environment', 'philosophy', 'discipline', 'organization', 'tragedy', 'symbol', 'medicine', 'politics', 'community', 'ideal', 'perfection', 'personality', 'society']","['society', 'personality', 'perfection', 'ideal', 'community', 'politics', 'medicine', 'symbol', 'tragedy', 'organization', 'discipline', 'philosophy', 'environment', 'training', 'reform', 'constitution', 'unity', 'culture', 'prosperity', 'institutions', 'commerce', 'economy']","{'politics': (0.7551143169403076, 182), 'culture': (0.7429023385047913, 175), 'economy': (0.7219122052192688, 161), 'institutions': (0.7179858684539795, 147), 'medicine': (0.7133030295372009, 102), 'personality': (0.7112339735031128, 140), 'unity': (0.7091779112815857, 289), 'training': (0.7008532881736755, 137), 'symbol': (0.6979002952575684, 113), 'constitution': (0.695866048336029, 295), 'perfection': (0.6956077814102173, 103), 'organization': (0.6955997943878174, 178), 'commerce': (0.6946086287498474, 108), 'discipline': (0.6933900117874146, 103), 'environment': (0.6927490234375, 127), 'tragedy': (0.6880970001220703, 100), 'prosperity': (0.6860488653182983, 122), 'community': (0.6853219270706177, 401), 'ideal': (0.6802459359169006, 142), 'reform': (0.6766020655632019, 158), 'philosophy': (0.6759852170944214, 275), 'society': (0.6738628149032593, 681)}","{'politics': -0.116, 'culture': 0.078, 'economy': 0.302, 'institutions': 0.148, 'medicine': -0.085, 'personality': -0.213, 'unity': 0.077, 'training': 0.03, 'symbol': -0.08, 'constitution': 0.053, 'perfection': -0.181, 'organization': -0.059, 'commerce': 0.189, 'discipline': -0.038, 'environment': 0.029, 'tragedy': -0.065, 'prosperity': 0.096, 'community': -0.13, 'ideal': -0.133, 'reform': 0.044, 'philosophy': -0.033, 'society': -0.258}"
1989,"['leadership', 'equality', 'personality', 'organization', 'arts', 'identity', 'promotion', 'stability', 'politics', 'agriculture', 'unity', 'maintenance', 'welfare', 'realm', 'democratic', 'capitalism', 'monetary', 'housing', 'religion', 'socialist', 'intervention', 'organizations', 'preservation', 'professional', 'organisation', 'humanity', 'economics', 'reform', 'intelligence', 'psychology', 'enterprise', 'discipline', 'security']","['security', 'discipline', 'enterprise', 'psychology', 'intelligence', 'reform', 'economics', 'humanity', 'organisation', 'professional', 'preservation', 'organizations', 'intervention', 'socialist', 'religion', 'housing', 'monetary', 'capitalism', 'democratic', 'realm', 'welfare', 'maintenance', 'unity', 'agriculture', 'politics', 'stability', 'promotion', 'identity', 'arts', 'organization', 'personality', 'equality', 'leadership']","{'organisation': (0.7688727378845215, 154), 'democratic': (0.7514044046401978, 119), 'reform': (0.7396978139877319, 202), 'security': (0.7361654043197632, 366), 'enterprise': (0.7345398664474487, 126), 'economics': (0.7253941893577576, 113), 'capitalism': (0.7233039140701294, 139), 'discipline': (0.7221060395240784, 109), 'welfare': (0.7191860675811768, 193), 'equality': (0.7144483327865601, 125), 'stability': (0.7079796195030212, 173), 'realm': (0.706421971321106, 140), 'maintenance': (0.7062215209007263, 235), 'intervention': (0.7039751410484314, 154), 'preservation': (0.7018043994903564, 108), 'personality': (0.7017589211463928, 125), 'intelligence': (0.6996719837188721, 106), 'housing': (0.6972488164901733, 137), 'professional': (0.6969336867332458, 181), 'arts': (0.6964614391326904, 131), 'unity': (0.6961784958839417, 215), 'religion': (0.693234920501709, 343), 'promotion': (0.691199541091919, 107), 'identity': (0.6906206607818604, 303), 'politics': (0.6905926465988159, 385), 'agriculture': (0.6877902746200562, 189), 'psychology': (0.6875696182250977, 108), 'organization': (0.6868065595626831, 407), 'monetary': (0.6851135492324829, 131), 'leadership': (0.6850928664207458, 151), 'socialist': (0.6822185516357422, 109), 'humanity': (0.6781982779502869, 111), 'organizations': (0.6760194301605225, 126)}","{'organisation': -0.044, 'democratic': 0.04, 'reform': -0.089, 'security': -0.164, 'enterprise': -0.153, 'economics': -0.07, 'capitalism': 0.027, 'discipline': -0.156, 'welfare': 0.059, 'equality': 0.372, 'stability': 0.149, 'realm': 0.046, 'maintenance': 0.061, 'intervention': -0.008, 'preservation': -0.04, 'personality': 0.301, 'intelligence': -0.126, 'housing': 0.023, 'professional': -0.043, 'arts': 0.194, 'unity': 0.095, 'religion': 0.017, 'promotion': 0.172, 'identity': 0.176, 'politics': 0.143, 'agriculture': 0.135, 'psychology': -0.149, 'organization': 0.206, 'monetary': 0.026, 'leadership': 0.48, 'socialist': -0.004, 'humanity': -0.052, 'organizations': -0.023}"
1929,"['organization', 'representation', 'tragedy', 'perfection', 'discipline']","['discipline', 'perfection', 'tragedy', 'representation', 'organization']","{'perfection': (0.8083924055099487, 116), 'organization': (0.7920702695846558, 139), 'representation': (0.7892745137214661, 129), 'discipline': (0.7876853346824646, 107), 'tragedy': (0.7830260396003723, 114)}","{'perfection': -0.02, 'organization': 0.1, 'representation': 0.021, 'discipline': -0.031, 'tragedy': 0.02}"
2005,"['philosophy', 'constitution', 'stability', 'revolution', 'autonomy', 'agriculture', 'moral', 'housing', 'reform', 'security', 'medicine', 'transformation', 'corporate', 'unity', 'agency', 'democratic', 'organisation', 'morality', 'equality', 'classroom', 'humanity', 'integration', 'evolution', 'sectors', 'intelligence', 'innovation', 'regulation', 'perception', 'dynamics', 'capitalist', 'psychological', 'liberal', 'politics', 'science', 'universal', 'structures', 'educational', 'leadership', 'personality', 'promotion']","['promotion', 'personality', 'leadership', 'educational', 'structures', 'universal', 'science', 'politics', 'liberal', 'capitalist', 'psychological', 'dynamics', 'perception', 'regulation', 'innovation', 'intelligence', 'sectors', 'evolution', 'integration', 'humanity', 'classroom', 'equality', 'morality', 'organisation', 'democratic', 'agency', 'unity', 'corporate', 'transformation', 'medicine', 'security', 'reform', 'housing', 'moral', 'agriculture', 'autonomy', 'revolution', 'stability', 'constitution', 'philosophy']","{'democratic': (0.7288079261779785, 173), 'dynamics': (0.7168848514556885, 110), 'morality': (0.6980228424072266, 100), 'promotion': (0.6973531246185303, 112), 'intelligence': (0.6970680952072144, 111), 'politics': (0.6918039321899414, 464), 'reform': (0.6915913820266724, 186), 'innovation': (0.6913456916809082, 115), 'universal': (0.6901122331619263, 212), 'humanity': (0.6878384351730347, 136), 'moral': (0.6821424961090088, 486), 'equality': (0.6819484829902649, 157), 'stability': (0.6808930039405823, 158), 'security': (0.6782432794570923, 421), 'structures': (0.6776987314224243, 191), 'transformation': (0.6770173907279968, 162), 'capitalist': (0.6725218296051025, 105), 'housing': (0.6707955002784729, 110), 'sectors': (0.6666887998580933, 118), 'medicine': (0.6660311222076416, 105), 'corporate': (0.6660083532333374, 100), 'science': (0.6652123928070068, 603), 'agriculture': (0.6643670797348022, 103), 'agency': (0.6634283065795898, 109), 'constitution': (0.6633181571960449, 196), 'organisation': (0.6620607376098633, 213), 'regulation': (0.6611006855964661, 144), 'autonomy': (0.6603281497955322, 107), 'unity': (0.659643292427063, 229), 'leadership': (0.6588321924209595, 159), 'evolution': (0.6576305627822876, 284), 'educational': (0.6567834615707397, 170), 'liberal': (0.6554349660873413, 117), 'revolution': (0.6542977690696716, 217), 'philosophy': (0.6532114744186401, 321), 'integration': (0.6528529524803162, 174), 'classroom': (0.649808406829834, 100), 'personality': (0.6494909524917603, 128), 'perception': (0.6494532823562622, 215), 'psychological': (0.649078369140625, 139)}","{'democratic': 0.084, 'dynamics': -0.034, 'morality': 0.056, 'promotion': -0.262, 'intelligence': -0.018, 'politics': -0.083, 'reform': 0.116, 'innovation': -0.025, 'universal': -0.108, 'humanity': -0.0, 'moral': 0.128, 'equality': 0.035, 'stability': 0.18, 'security': 0.108, 'structures': -0.128, 'transformation': 0.103, 'capitalist': -0.059, 'housing': 0.119, 'sectors': -0.013, 'medicine': 0.107, 'corporate': 0.101, 'science': -0.084, 'agriculture': 0.135, 'agency': 0.088, 'constitution': 0.204, 'organisation': 0.081, 'regulation': -0.026, 'autonomy': 0.138, 'unity': 0.092, 'leadership': -0.153, 'evolution': -0.002, 'educational': -0.13, 'liberal': -0.079, 'revolution': 0.176, 'philosophy': 0.36, 'integration': -0.001, 'classroom': 0.021, 'personality': -0.183, 'perception': -0.028, 'psychological': -0.059}"
1996,"['organisation', 'worker', 'dimension', 'emotional', 'enterprise', 'medicine', 'stability', 'psychology', 'preservation', 'personality', 'evolution', 'democratic', 'intelligence', 'organization', 'politics', 'sovereignty', 'diversity', 'transformation', 'fiction', 'humanity', 'logic', 'discipline', 'intervention', 'capitalism', 'commitment']","['commitment', 'capitalism', 'intervention', 'discipline', 'logic', 'humanity', 'fiction', 'diversity', 'transformation', 'sovereignty', 'politics', 'organization', 'intelligence', 'democratic', 'evolution', 'personality', 'preservation', 'psychology', 'stability', 'medicine', 'enterprise', 'emotional', 'dimension', 'worker', 'organisation']","{'organisation': (0.7606960535049438, 168), 'democratic': (0.7529482841491699, 171), 'psychology': (0.7304925918579102, 106), 'stability': (0.7167458534240723, 168), 'preservation': (0.707537055015564, 117), 'personality': (0.7033262252807617, 122), 'discipline': (0.7032349705696106, 125), 'dimension': (0.6997911930084229, 121), 'commitment': (0.6990144848823547, 164), 'intelligence': (0.6980392336845398, 105), 'sovereignty': (0.6971197128295898, 105), 'worker': (0.6959015727043152, 105), 'intervention': (0.6928470134735107, 129), 'medicine': (0.6924786567687988, 112), 'organization': (0.6907458901405334, 459), 'enterprise': (0.6904894709587097, 107), 'diversity': (0.6900821924209595, 149), 'logic': (0.6887097358703613, 137), 'emotional': (0.6875234842300415, 100), 'transformation': (0.6870245337486267, 147), 'evolution': (0.6831858158111572, 286), 'politics': (0.6818904280662537, 440), 'fiction': (0.6815302968025208, 116), 'humanity': (0.6787916421890259, 120), 'capitalism': (0.6775863766670227, 101)}","{'organisation': 0.703, 'democratic': 0.011, 'psychology': 0.075, 'stability': 0.079, 'preservation': 0.047, 'personality': 0.044, 'discipline': -0.123, 'dimension': 0.115, 'commitment': -0.431, 'intelligence': -0.006, 'sovereignty': -0.074, 'worker': 0.219, 'intervention': -0.214, 'medicine': 0.081, 'organization': -0.021, 'enterprise': 0.098, 'diversity': -0.076, 'logic': -0.108, 'emotional': 0.102, 'transformation': -0.076, 'evolution': 0.035, 'politics': -0.029, 'fiction': -0.082, 'humanity': -0.084, 'capitalism': -0.289}"
1911,[],[],{},{}
1933,"['environment', 'organization', 'preservation', 'humanity', 'institutions']","['institutions', 'humanity', 'preservation', 'organization', 'environment']","{'environment': (0.7739870548248291, 122), 'organization': (0.7706149816513062, 140), 'humanity': (0.7629590630531311, 129), 'preservation': (0.7574989795684814, 126), 'institutions': (0.7538561224937439, 109)}","{'environment': 0.161, 'organization': 0.054, 'humanity': -0.272, 'preservation': -0.086, 'institutions': -0.351}"
1982,"['science', 'participation', 'race', 'philosophy', 'religion', 'revolutionary', 'achievement', 'organisation', 'politics', 'traditional', 'strategy', 'intervention', 'contemporary', 'unity', 'reform', 'logic', 'classical', 'organizations', 'universal', 'socialist', 'psychology', 'literary', 'culture', 'capitalist', 'stability', 'transformation', 'realm', 'personality', 'perception', 'organization', 'identity', 'intellectual', 'rational', 'evolution', 'sectors', 'medicine', 'revolution', 'universe', 'religious', 'democratic', 'capitalism']","['democratic', 'capitalism', 'religious', 'universe', 'revolution', 'medicine', 'sectors', 'evolution', 'rational', 'intellectual', 'identity', 'organization', 'perception', 'personality', 'realm', 'transformation', 'stability', 'capitalist', 'culture', 'literary', 'psychology', 'socialist', 'universal', 'organizations', 'classical', 'logic', 'reform', 'unity', 'contemporary', 'intervention', 'strategy', 'traditional', 'politics', 'organisation', 'achievement', 'revolutionary', 'religion', 'philosophy', 'race', 'participation', 'science']","{'democratic': (0.7548327445983887, 109), 'capitalism': (0.7243881821632385, 126), 'rational': (0.7185153961181641, 116), 'religion': (0.7152113914489746, 330), 'culture': (0.7083419561386108, 461), 'revolutionary': (0.7051427364349365, 107), 'perception': (0.6958142518997192, 146), 'revolution': (0.6932908296585083, 308), 'politics': (0.6922967433929443, 321), 'realm': (0.6868169903755188, 150), 'organisation': (0.6864200830459595, 174), 'socialist': (0.68513423204422, 118), 'personality': (0.6843228340148926, 146), 'philosophy': (0.6821251511573792, 229), 'reform': (0.6816104650497437, 178), 'logic': (0.6781284213066101, 116), 'capitalist': (0.6779542565345764, 241), 'sectors': (0.6748856902122498, 102), 'psychology': (0.6725514531135559, 117), 'stability': (0.6709678173065186, 174), 'traditional': (0.6696730852127075, 246), 'unity': (0.6694459915161133, 221), 'organizations': (0.6690349578857422, 104), 'participation': (0.6687095761299133, 141), 'universe': (0.6685488224029541, 171), 'universal': (0.6680902242660522, 136), 'identity': (0.6677875518798828, 203), 'medicine': (0.6658020615577698, 105), 'transformation': (0.6657038927078247, 141), 'race': (0.6641051769256592, 230), 'literary': (0.6638581156730652, 163), 'organization': (0.66277015209198, 346), 'science': (0.6627552509307861, 490), 'religious': (0.6623797416687012, 358), 'contemporary': (0.6574379801750183, 144), 'intervention': (0.6560288667678833, 129), 'strategy': (0.6559942960739136, 134), 'evolution': (0.6550655364990234, 239), 'achievement': (0.6549196243286133, 123), 'classical': (0.6538888216018677, 144), 'intellectual': (0.6533410549163818, 156)}","{'democratic': -0.936, 'capitalism': -0.936, 'rational': -0.684, 'religion': 0.746, 'culture': -0.005, 'revolutionary': 0.632, 'perception': -0.568, 'revolution': -0.785, 'politics': 0.195, 'realm': -0.159, 'organisation': 0.203, 'socialist': 0.029, 'personality': -0.168, 'philosophy': 0.81, 'reform': 0.087, 'logic': 0.081, 'capitalist': -0.008, 'sectors': -0.71, 'psychology': 0.027, 'stability': -0.043, 'traditional': 0.157, 'unity': 0.088, 'organizations': 0.047, 'participation': 0.867, 'universe': -0.794, 'universal': 0.035, 'identity': -0.655, 'medicine': -0.739, 'transformation': -0.158, 'race': 0.866, 'literary': 0.025, 'organization': -0.634, 'science': 0.888, 'religious': -0.81, 'contemporary': 0.118, 'intervention': 0.154, 'strategy': 0.155, 'evolution': -0.691, 'achievement': 0.29, 'classical': 0.072, 'intellectual': -0.657}"
1904,[],[],{},{}
1964,"['selection', 'personality', 'organ', 'environment', 'policies', 'sciences', 'phenomenon', 'drama', 'concept', 'reform', 'welfare', 'implications', 'ideal', 'philosophy', 'organization', 'preservation', 'institution', 'objective', 'doctrine', 'discipline', 'medicine', 'society', 'representation', 'evolution', 'intellectual', 'institutions']","['institutions', 'intellectual', 'evolution', 'representation', 'society', 'medicine', 'discipline', 'doctrine', 'objective', 'institution', 'preservation', 'organization', 'philosophy', 'ideal', 'implications', 'welfare', 'reform', 'concept', 'drama', 'phenomenon', 'sciences', 'policies', 'environment', 'organ', 'personality', 'selection']","{'institution': (0.7759040594100952, 115), 'organization': (0.7679873108863831, 238), 'institutions': (0.747520387172699, 164), 'environment': (0.7474327087402344, 200), 'intellectual': (0.7417119741439819, 142), 'personality': (0.7377722859382629, 157), 'policies': (0.732733964920044, 104), 'evolution': (0.721841037273407, 156), 'philosophy': (0.718224287033081, 267), 'implications': (0.7180383205413818, 103), 'concept': (0.7165257334709167, 320), 'organ': (0.7158565521240234, 120), 'reform': (0.7132813930511475, 158), 'society': (0.7112395167350769, 905), 'discipline': (0.7099936008453369, 109), 'drama': (0.7088778018951416, 119), 'medicine': (0.7087090015411377, 109), 'ideal': (0.7085341811180115, 184), 'representation': (0.7080097198486328, 189), 'preservation': (0.7072277069091797, 125), 'selection': (0.7036317586898804, 123), 'sciences': (0.7030017971992493, 122), 'welfare': (0.6990973949432373, 181), 'phenomenon': (0.696631133556366, 102), 'objective': (0.6963642239570618, 139), 'doctrine': (0.6960982084274292, 345)}","{'institution': -0.209, 'organization': -0.146, 'institutions': -0.725, 'environment': 0.5, 'intellectual': -0.69, 'personality': 0.654, 'policies': 0.452, 'evolution': -0.62, 'philosophy': -0.113, 'implications': -0.028, 'concept': 0.144, 'organ': 0.641, 'reform': 0.095, 'society': -0.504, 'discipline': -0.277, 'drama': 0.151, 'medicine': -0.335, 'ideal': -0.037, 'representation': -0.566, 'preservation': -0.161, 'selection': 0.674, 'sciences': 0.433, 'welfare': 0.078, 'phenomenon': 0.242, 'objective': -0.21, 'doctrine': -0.226}"
1941,"['equipment', 'phenomena', 'security', 'culture', 'organization', 'ideal', 'universe', 'conception', 'civilization', 'medicine', 'preservation', 'religious', 'reform', 'machinery', 'concept', 'prosperity', 'weakness', 'intellectual', 'humanity', 'politics', 'constitution', 'science', 'unity', 'evolution', 'society', 'independence', 'economy', 'activity', 'symbol', 'institutions', 'teacher', 'drama', 'model', 'reality', 'organ', 'structure']","['structure', 'organ', 'reality', 'model', 'drama', 'teacher', 'institutions', 'symbol', 'activity', 'economy', 'independence', 'society', 'evolution', 'unity', 'science', 'constitution', 'politics', 'humanity', 'intellectual', 'weakness', 'prosperity', 'concept', 'machinery', 'reform', 'religious', 'preservation', 'medicine', 'civilization', 'conception', 'universe', 'ideal', 'organization', 'culture', 'security', 'phenomena', 'equipment']","{'humanity': (0.7457367181777954, 107), 'concept': (0.7354406118392944, 126), 'preservation': (0.7266480922698975, 124), 'organization': (0.7157461643218994, 226), 'prosperity': (0.7156623005867004, 148), 'security': (0.708816409111023, 244), 'symbol': (0.7045990228652954, 100), 'institutions': (0.7029529809951782, 118), 'ideal': (0.7016695141792297, 175), 'universe': (0.7012391090393066, 163), 'society': (0.7007859349250793, 615), 'medicine': (0.6994007229804993, 110), 'culture': (0.6951746940612793, 167), 'politics': (0.6948295831680298, 240), 'economy': (0.6900676488876343, 185), 'machinery': (0.6899155378341675, 124), 'unity': (0.6897865533828735, 279), 'reform': (0.6834909915924072, 102), 'reality': (0.6809747219085693, 273), 'model': (0.68056321144104, 153), 'drama': (0.6785740256309509, 104), 'civilization': (0.6779801845550537, 120), 'equipment': (0.6776984930038452, 126), 'weakness': (0.6744955778121948, 123), 'evolution': (0.6722259521484375, 133), 'religious': (0.670036792755127, 342), 'intellectual': (0.6694955825805664, 112), 'phenomena': (0.6694045066833496, 106), 'conception': (0.6691877841949463, 310), 'constitution': (0.6683143377304077, 190), 'structure': (0.6673028469085693, 487), 'organ': (0.6667594909667969, 112), 'science': (0.6665451526641846, 492), 'activity': (0.6661710739135742, 244), 'independence': (0.6656589508056641, 190), 'teacher': (0.6653280258178711, 104)}","{'humanity': -0.015, 'concept': 0.053, 'preservation': 0.229, 'organization': 0.769, 'prosperity': 0.047, 'security': 0.867, 'symbol': -0.557, 'institutions': -0.708, 'ideal': 0.743, 'universe': 0.721, 'society': -0.132, 'medicine': 0.565, 'culture': 0.84, 'politics': -0.033, 'economy': -0.219, 'machinery': 0.06, 'unity': -0.076, 'reform': 0.071, 'reality': -0.888, 'model': -0.861, 'drama': -0.857, 'civilization': 0.59, 'equipment': 0.893, 'weakness': 0.033, 'evolution': -0.129, 'religious': 0.114, 'intellectual': 0.017, 'phenomena': 0.889, 'conception': 0.672, 'constitution': -0.047, 'structure': -0.89, 'organ': -0.889, 'science': -0.06, 'activity': -0.26, 'independence': -0.14, 'teacher': -0.804}"
1979,"['stability', 'realm', 'culture', 'intellectual', 'politics', 'capitalism', 'rational', 'medicine', 'educational', 'organisation', 'security', 'revolutionary', 'religion', 'enterprise', 'leadership', 'symbol', 'institution', 'concrete', 'equality', 'democratic', 'revolution', 'reform', 'discipline', 'socialism', 'spiritual', 'perception', 'psychological', 'organization']","['organization', 'psychological', 'perception', 'socialism', 'spiritual', 'discipline', 'reform', 'revolution', 'democratic', 'equality', 'concrete', 'institution', 'symbol', 'leadership', 'enterprise', 'religion', 'revolutionary', 'security', 'organisation', 'educational', 'medicine', 'rational', 'capitalism', 'politics', 'intellectual', 'culture', 'realm', 'stability']","{'socialism': (0.7780539393424988, 103), 'discipline': (0.7670214772224426, 110), 'democratic': (0.7605211138725281, 106), 'organization': (0.7593294382095337, 392), 'capitalism': (0.7579851150512695, 113), 'organisation': (0.7464541792869568, 172), 'reform': (0.7378354072570801, 152), 'politics': (0.7367531061172485, 309), 'realm': (0.7348015308380127, 141), 'institution': (0.7267240285873413, 122), 'intellectual': (0.7260562181472778, 176), 'security': (0.7182149887084961, 306), 'symbol': (0.7156267166137695, 117), 'spiritual': (0.7119019031524658, 138), 'culture': (0.7117388248443604, 421), 'revolutionary': (0.7112119197845459, 117), 'rational': (0.7053098082542419, 112), 'revolution': (0.7040526866912842, 313), 'enterprise': (0.7011603116989136, 126), 'equality': (0.7011025547981262, 111), 'educational': (0.6977822184562683, 157), 'leadership': (0.696934163570404, 174), 'stability': (0.6968586444854736, 173), 'medicine': (0.6960322260856628, 109), 'concrete': (0.694399356842041, 110), 'religion': (0.6931734085083008, 404), 'psychological': (0.6925835609436035, 123), 'perception': (0.6917852163314819, 153)}","{'socialism': -0.098, 'discipline': -0.07, 'democratic': -0.047, 'organization': -0.223, 'capitalism': 0.065, 'organisation': 0.008, 'reform': -0.066, 'politics': 0.096, 'realm': 0.165, 'institution': -0.036, 'intellectual': 0.1, 'security': 0.003, 'symbol': -0.031, 'spiritual': -0.098, 'culture': 0.109, 'revolutionary': -0.003, 'rational': 0.059, 'revolution': -0.048, 'enterprise': -0.018, 'equality': -0.045, 'educational': 0.035, 'leadership': -0.023, 'stability': 0.167, 'medicine': 0.049, 'concrete': -0.039, 'religion': -0.007, 'psychological': -0.172, 'perception': -0.161}"
1907,[],[],{},{}
